id,cluster_id,cluster_name,distance_from_centroid
5,0,High-Quality Compounders,0.1845287395407403
1139,0,High-Quality Compounders,0.12069502385845898
1007,0,High-Quality Compounders,0.15854701876915586
744,0,High-Quality Compounders,0.18436766563594592
504,0,High-Quality Compounders,0.6793628844832206
330,3,Distressed or Turnaround,0.2700428042808533
564,0,High-Quality Compounders,0.3573198134835282
366,0,High-Quality Compounders,0.12569818405285763
198,0,High-Quality Compounders,0.36428459909240696
1019,0,High-Quality Compounders,0.17126000832493016
1175,0,High-Quality Compounders,4.268835300288823
516,0,High-Quality Compounders,1.6498240055182583
104,0,High-Quality Compounders,0.14111476344098975
458,0,High-Quality Compounders,0.16745985104474717
732,0,High-Quality Compounders,0.08281165642015685
861,0,High-Quality Compounders,0.6556652753025449
188,0,High-Quality Compounders,0.187174519524696
552,0,High-Quality Compounders,0.19039106899041272
81,0,High-Quality Compounders,0.4425293644577999
1031,0,High-Quality Compounders,0.08730901455951783
528,0,High-Quality Compounders,1.0239649043941368
708,0,High-Quality Compounders,0.22770751665216077
1043,0,High-Quality Compounders,0.0751567841762061
720,0,High-Quality Compounders,0.17383159965830455
860,0,High-Quality Compounders,0.6556652753025449
176,0,High-Quality Compounders,0.04601940828308569
164,0,High-Quality Compounders,0.7861090394241594
862,0,High-Quality Compounders,0.6556652753025449
1055,0,High-Quality Compounders,0.07834982420133187
222,0,High-Quality Compounders,0.05488639758146817
1103,0,High-Quality Compounders,0.181642154868685
25,0,High-Quality Compounders,0.5299302325102005
540,0,High-Quality Compounders,3.0337026355035084
1163,0,High-Quality Compounders,1.2172385002328465
234,2,Value Cyclicals,2.978692493129436
142,0,High-Quality Compounders,0.1832039119163481
768,0,High-Quality Compounders,0.1908271811187363
143,0,High-Quality Compounders,0.1832039119163481
1115,0,High-Quality Compounders,0.100246855224056
983,0,High-Quality Compounders,0.22394878959233205
481,0,High-Quality Compounders,1.4201344050833857
669,0,High-Quality Compounders,0.07128368853888907
210,0,High-Quality Compounders,1.0819969783257604
915,0,High-Quality Compounders,0.05696333594549864
576,0,High-Quality Compounders,0.5263252159731878
756,0,High-Quality Compounders,0.06526080161347875
1067,0,High-Quality Compounders,0.18140105366125175
493,0,High-Quality Compounders,0.24397998879560018
318,0,High-Quality Compounders,0.4382600720091198
681,0,High-Quality Compounders,0.6604692727325164
354,0,High-Quality Compounders,0.18402061896273217
379,0,High-Quality Compounders,0.12631939917411827
1140,0,High-Quality Compounders,0.13922332207445356
355,0,High-Quality Compounders,0.18349042390507633
367,0,High-Quality Compounders,0.11557424659791904
866,0,High-Quality Compounders,0.8021675381609744
841,0,High-Quality Compounders,0.18104032912350226
865,0,High-Quality Compounders,0.8021675381609744
482,0,High-Quality Compounders,1.7600489604487275
829,0,High-Quality Compounders,0.26364956052300137
721,0,High-Quality Compounders,0.17996324650596063
541,4,Emerging Growth,2.4762536266642248
709,0,High-Quality Compounders,0.21706589844461324
553,0,High-Quality Compounders,0.23344921156285842
697,0,High-Quality Compounders,0.10636375901532877
565,0,High-Quality Compounders,0.380887783426138
682,0,High-Quality Compounders,0.49278558388686033
7,0,High-Quality Compounders,0.1851712836909074
529,0,High-Quality Compounders,1.1149366813324997
577,0,High-Quality Compounders,0.35451636257292496
6,0,High-Quality Compounders,0.1851712836909074
589,0,High-Quality Compounders,0.18508604301158535
658,0,High-Quality Compounders,0.07796537751843269
601,0,High-Quality Compounders,0.13838625939235236
644,0,High-Quality Compounders,0.09777522139701217
611,0,High-Quality Compounders,0.182645291708429
632,0,High-Quality Compounders,0.18488626559331348
620,0,High-Quality Compounders,0.42259597937102006
670,0,High-Quality Compounders,0.06622068566575658
391,0,High-Quality Compounders,0.16599047942763717
1176,0,High-Quality Compounders,1.4166626129789592
733,0,High-Quality Compounders,0.07654347876016072
403,0,High-Quality Compounders,0.1819054009271777
415,0,High-Quality Compounders,0.1706371070753978
817,0,High-Quality Compounders,0.1716236417482044
427,0,High-Quality Compounders,0.13463282802084398
805,0,High-Quality Compounders,0.10828291924620628
38,0,High-Quality Compounders,0.08797721764213036
439,0,High-Quality Compounders,0.15307917550778405
793,0,High-Quality Compounders,0.1422873950682495
517,0,High-Quality Compounders,1.4515308531736404
1152,0,High-Quality Compounders,0.15142339968881058
26,0,High-Quality Compounders,0.09103737388901077
